wordID	wordCS	word	lemma	Pos
-----	-----	-----	-----	-----

1	.	.	.	.
2	,	,	,	,
3	I	i	i	ppis1
4	?	?	?	?
5	you	you	you	ppy
6	the	the	the	at
7	a	a	a	at1
8	-	-	-	-
9	to	to	to	to
10	's	's	be	vbz
11	it	it	it	pph1
12	n't	n't	n't	xx
13	and	and	and	cc
14	of	of	of	io
15	!	!	!	!
16	is	is	be	vbz
17	...	...	--	...
18	You	you	you	ppy
19	me	me	me	ppio1
20	in	in	in	ii
21	was	was	be	vbdz
22	do	do	do	np
23	'm	'm	be	vbm
24	to	to	to	ii
25	for	for	for	if
26	this	this	this	dd1
27	're	're	be	vbr
28	we	we	we	ppis2
29	that	that	that	dd1
30	my	my	my	appge
31	be	be	be	vbi
32	your	your	your	appge
33	not	not	not	xx
34	It	it	it	pph1
35	with	with	with	iw
36	he	he	he	pphs1
37	what	what	what	ddq
38	What	what	what	ddq
39	are	are	be	vbr
40	just	just	just	rr
41	"	"	"	"
42	on	on	on	ii
43	And	and	and	cc
44	Oh	oh	oh	uh
45	We	we	we	ppis2
46	know	know	know	vv0
47	have	have	have	vh0
48	here	here	here	rl
49	did	did	do	vdd
50	.	.	--	#y
51	'll	'll	will	vm
52	that	that	that	cst
53	him	him	him	ppho1
54	The	the	the	at
55	Yeah	yeah	yeah	uh
56	about	about	about	ii
57	He	he	he	pphs1
58	have	have	have	vhi
59	can	can	can	vm
60	No	no	no	uh
61	up	up	up	rp
62	Well	well	well	rr
63	but	but	but	ccb
64	at	at	at	ii
65	out	out	out	rp
66	they	they	they	pphs2
67	q!	q!	q!	q!
68	's	's	's	ge
69	've	've	have	vh0
70	na	na	na	to
71	That	that	that	dd1
72	)	)	)	)
73	(	(	(	(
74	she	she	she	pphs1
75	get	get	get	vvi
76	do	do	do	np
77	:	:	:	:
78	know	know	know	vvi
79	But	but	but	ccb
80	would	would	would	vm
81	gon	gon	go	vvgk
82	his	his	his	appge
83	So	so	so	rr
84	were	were	be	vbdr
85	an	an	a	at1
86	from	from	from	ii
87	now	now	now	rt
88	go	go	go	vvi
89	all	all	all	db
90	could	could	could	vm
91	time	time	time	nnt1
92	been	been	be	vbn
93	her	her	her	ppho1
94	us	us	us	ppio2
95	Do	do	do	np
96	them	them	them	ppho2
97	got	got	get	vvd
98	She	she	she	pphs1
99	This	this	this	dd1
100	there	there	there	rl
101	will	will	will	vm
102	think	think	think	vv0
103	like	like	like	ii
104	ca	ca	can	vm
105	Hey	hey	hey	uh
106	who	who	who	pnqs
107	good	good	good	jj
108	Okay	okay	okay	rr
109	some	some	some	dd
110	want	want	want	vv0
111	had	had	have	vhd
112	They	they	they	pphs2
113	really	really	really	rr
114	our	our	our	appge
115	if	if	if	cs
116	Yes	yes	yes	uh
117	or	or	or	cc
118	see	see	see	vvi
119	way	way	way	nn1
120	something	something	something	pn1
121	has	has	have	vhz
122	one	one	one	mc1
123	'd	'd	have	vm
124	got	got	get	vvn
125	man	man	man	nn1
126	that	that	that	cst_dd1
127	back	back	back	rp
128	right	right	right	rr22
129	that	that	that	dd1_cst
130	should	should	should	vm
131	of	of	of	ii22
132	need	need	need	vv0
133	does	does	do	vdz
